"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"zjhr","The Ritual (Bukit Timah Road) - Islandwide","Beverages",5.0,10,"singapore","383 Bukit Timah road, #01-09b 259727,"
"x3jb","Western (Lorong 6 Toa Payoh)","Western",5.0,537,"singapore","Block 470 Toa Payoh Lorong 6 #02-70,"
"cc4y","Homtang Thai (Balestier Road)","Thai",4.6,91,"singapore","558 Balestier Road, S 329874,"
"v3pp","Xin Arginoko Japanese & Korean Cuisine (Toa Payoh)","Japanese",4.9,638,"singapore","02-70, Blk 470 Toa Payoh Lorong 6, Toa Payoh, Ang Mo Kio,"
"x9nh","I.N.U Pet Cafe (Boon Teck Road )","",4.1,17,"singapore","12 Boon Teck Road #01-02,"
"ih76","Soon Huat BBQ Seafood (Lorong 4 Toa Payoh)","Asian",4.7,411,"singapore","Blk 85 Lorong 4 Toa Payoh #01-368 Singapore 310085,"
"w7tz","Jollibee (Square 2)","Fried Chicken",4.9,10063,"singapore","01-07 To 12 / 160 To 161/165, 10 Sinaran Drive, Novena Square 2, Novena, Upper Central,"
"i4z3","Balestier Nasi Lemak and Curry Rice (Balestier Road)","Asian",0.0,0,"singapore","Balestier Rd 558, 329874 Novena, Central, Singapore, Singapore,"
"xkz5","Hua Zai Frog Porridge & BBQ Seafood (125 Toa Payoh Lor 1) - Islandwide","Porridge",4.9,47,"singapore","blk 125 toa payoh lorong 1 #01-523 singapore 310125 ( stall 2 ) Unit No: #01-523,"
"w3dv","Al Hadheerah Indian Muslim & Thai Seafood Restaurant (Hdb Hub)","",4.4,364,"singapore","#B1-01 HDB Hub, 480 Lorong 6 Toa Payoh,"
"io48","Jinjja Chicken (foodpanda test)","Fried Chicken",0.0,0,"singapore","-,"
"y1sg","Hua Fong Kee Roasted Duck (116 Toa Payoh Lorong 2)","Singaporean",5.0,380,"singapore","128 Lorong 1 Toa Payoh #01-811 S(310128),"
"ph8h","KL Tai Pai Tong Seafood (Toa Payoh)","Chinese",4.6,163,"singapore","177 Toa Payoh Central, #01-102, Singapore 310177,"
"nc4n","Ban Mian And Claypot Rice (Balestier Road)","Chinese",0.0,0,"singapore","567 Balestier Road, Mega Foodcourt, Stall 5, Singapore 329884,"
"u5fq","TANI - Modern Indian Restaurant (Balestier)","Indian",4.6,159,"singapore","20 AH HOOD ROAD, #01-19 ZHONGSHAN MALL, SINGAPORE 329984,"
"kjuc","AH HWA NOODLE HOUSE (TPY 126)","Chinese",5.0,450,"singapore","126 TOA PAYOH LORONG 1, #01-577,"
"nnsf","Chicky Fun Menu A","Rice Dishes",0.0,0,"singapore","1 Fusionopolis Way B1-24, Singapore 138632,"
"yx61","2612 Little Vietnam Cuisine (Lorong 2 Toa Payoh)","Vietnamese",4.9,61,"singapore","125 Lor 1 Toa Payoh, Block 125, SG310125,"
"x0jv","Fork and Spoon Coffee, Toast, Dim Sum (Lorong 6 Toa Payoh)","Dessert",4.9,242,"singapore","470 Toa Payoh Lorong 6 02-70,"
"w5ov","Bari-Uma Ramen (Novena)","Ramen",5.0,351,"singapore","273 Thomson Road, Novena Gardens, #01-03/04 S307644,"
